no,name,hp,atk,def,spatk,spdef,spd,type1,type2
89,ベトベトン,105,105,75,65,100,50,どく,-
90,シェルダー,30,65,100,45,25,40,みず,-
91,パルシェン,50,95,180,85,45,70,みず,こおり
92,ゴース,30,35,30,100,35,80,ゴースト,どく
93,ゴースト,45,50,45,115,55,95,ゴースト,どく
94,ゲンガー,60,65,60,130,75,110,ゴースト,どく
95,イワーク,35,45,160,30,45,70,いわ,じめん
96,スリープ,60,48,45,43,90,42,エスパー,-
97,スリーパー,85,73,70,73,115,67,エスパー,-
98,クラブ,30,105,90,25,25,50,みず,-
99,キングラー,55,130,115,50,50,75,みず,-
100,ビリリダマ,40,30,50,55,55,100,でんき,-
101,マルマイン,60,50,70,80,80,140,でんき,-
102,タマタマ,60,40,80,60,45,40,くさ,エスパー
103,ナッシー,95,95,85,125,65,55,くさ,エスパー
104,カラカラ,50,50,95,40,50,35,じめん,-
105,ガラガラ,60,80,110,50,80,45,じめん,-
106,サワムラー,50,120,53,35,110,87,かくとう,-
107,エビワラー,50,105,79,35,110,76,かくとう,-
108,ベロリンガ,90,55,75,60,75,30,ノーマル,-
109,ドガース,40,65,95,60,45,35,どく,-
110,マタドガス,65,90,120,85,70,60,どく,-
111,サイホーン,80,85,95,30,30,25,じめん,いわ
112,サイドン,105,130,120,45,45,40,じめん,いわ
113,ラッキー,250,5,5,35,105,50,ノーマル,-
114,モンジャラ,65,55,115,100,40,60,くさ,-
115,ガルーラ,105,95,80,40,80,90,ノーマル,-
116,タッツー,30,40,70,70,25,60,みず,-
117,シードラ,55,65,95,95,45,85,みず,-
118,トサキント,45,67,60,35,50,63,みず,-
119,アズマオウ,80,92,65,65,80,68,みず,-
120,ヒトデマン,30,45,55,70,55,85,みず,-
121,スターミー,60,75,85,100,85,115,みず,エスパー
122,バリヤード,40,45,65,100,120,90,エスパー,-
123,ストライク,70,110,80,55,80,105,むし,ひこう
124,ルージュラ,65,50,35,115,95,95,こおり,エスパー
125,エレブー,65,83,57,95,85,105,でんき,-
126,ブーバー,65,95,57,100,85,93,ほのお,-
127,カイロス,65,125,100,55,70,85,むし,-
128,ケンタロス,75,100,95,40,70,110,ノーマル,-
129,コイキング,20,10,55,15,20,80,みず,-
130,ギャラドス,95,125,79,60,100,81,みず,ひこう
131,ラプラス,130,85,80,85,95,60,みず,こおり
132,メタモン,48,48,48,48,48,48,ノーマル,-
133,イーブイ,55,55,50,45,65,55,ノーマル,-
134,シャワーズ,130,65,60,110,95,65,みず,-
135,サンダース,65,65,60,110,95,130,でんき,-
136,ブースター,65,130,60,95,110,65,ほのお,-
137,ポリゴン,65,60,70,85,75,40,ノーマル,-
138,オムナイト,35,40,100,90,55,35,いわ,みず
139,オムスター,70,60,125,115,70,55,いわ,みず
140,カブト,30,80,90,55,45,55,いわ,みず
141,カブトプス,60,115,105,65,70,80,いわ,みず
142,プテラ,80,105,65,60,75,130,いわ,ひこう
143,カビゴン,160,110,65,65,110,30,ノーマル,-
144,フリーザー,90,85,100,95,125,85,こおり,ひこう
145,サンダー,90,90,85,125,90,100,でんき,ひこう
146,ファイヤー,90,100,90,125,85,90,ほのお,ひこう
147,ミニリュウ,41,64,45,50,50,50,ドラゴン,-
148,ハクリュー,61,84,65,70,70,70,ドラゴン,-
149,カイリュー,91,134,95,100,100,80,ドラゴン,ひこう
150,ミュウツー,106,110,90,154,90,130,エスパー,-
151,ミュウ,100,100,100,100,100,100,エスパー,-
152,チコリータ,45,49,65,49,65,45,くさ,-
153,ベイリーフ,60,62,80,63,80,60,くさ,-
154,メガニウム,80,82,100,83,100,80,くさ,-
155,ヒノアラシ,39,52,43,60,50,65,ほのお,-
156,マグマラシ,58,64,58,80,65,80,ほのお,-
157,バクフーン,78,84,78,109,85,100,ほのお,-
158,ワニノコ,50,65,64,44,48,43,みず,-
159,アリゲイツ,65,80,80,59,63,58,みず,-
160,オーダイル,85,105,100,79,83,78,みず,-
161,オタチ,35,46,34,35,45,20,ノーマル,-
162,オオタチ,85,76,64,45,55,90,ノーマル,-
163,ホーホー,60,30,30,36,56,50,ノーマル,ひこう
164,ヨルノズク,100,50,50,76,96,70,ノーマル,ひこう
165,レディバ,40,20,30,40,80,55,むし,ひこう
166,レディアン,55,35,50,55,110,85,むし,ひこう
167,イトマル,40,60,40,40,40,30,むし,どく
168,アリアドス,70,90,70,60,60,40,むし,どく
169,クロバット,85,90,80,70,80,130,どく,ひこう
170,チョンチー,75,38,38,56,56,67,みず,でんき
171,ランターン,125,58,58,76,76,67,みず,でんき
172,ピチュー,20,40,15,35,35,60,でんき,-
173,ピィ,50,25,28,45,55,15,ノーマル,-
174,ププリン,90,30,15,40,20,15,ノーマル,-
175,トゲピー,35,20,65,40,65,20,ノーマル,-
176,トゲチック,55,40,85,80,105,40,ノーマル,ひこう
177,ネイティ,40,50,45,70,45,70,エスパー,ひこう
178,ネイティオ,65,75,70,95,70,95,エスパー,ひこう
179,メリープ,55,40,40,65,45,35,でんき,-
180,モココ,70,55,55,80,60,45,でんき,-
181,デンリュウ,90,75,75,115,90,55,でんき,-
182,キレイハナ,75,80,85,90,100,50,くさ,-
183,マリル,70,20,50,20,50,40,みず,-
184,マリルリ,100,50,80,50,80,50,みず,-
185,ウソッキー,70,100,115,30,65,30,いわ,-
186,ニョロトノ,90,75,75,90,100,70,みず,-
187,ハネッコ,35,35,40,35,55,50,くさ,ひこう
188,ポポッコ,55,45,50,45,65,80,くさ,ひこう
189,ワタッコ,75,55,70,55,85,110,くさ,ひこう
190,エイパム,55,70,55,40,55,85,ノーマル,-
191,ヒマナッツ,30,30,30,30,30,30,くさ,-
192,キマワリ,75,75,55,105,85,30,くさ,-
193,ヤンヤンマ,65,65,45,75,45,95,むし,ひこう
194,ウパー,55,45,45,25,25,15,みず,じめん
195,ヌオー,95,85,85,65,65,35,みず,じめん
196,エーフィ,65,65,60,130,95,110,エスパー,-
197,ブラッキー,95,65,110,60,130,65,あく,-
198,ヤミカラス,60,85,42,85,42,91,あく,ひこう
199,ヤドキング,95,75,80,100,110,30,みず,エスパー
200,ムウマ,60,60,60,85,85,85,ゴースト,-
201,アンノーン,48,72,48,72,48,48,エスパー,-
202,ソーナンス,190,33,58,33,58,33,エスパー,-
203,キリンリキ,70,80,65,90,65,85,ノーマル,エスパー
204,クヌギダマ,50,65,90,35,35,15,むし,-
205,フォレトス,75,90,140,60,60,40,むし,はがね
206,ノコッチ,100,70,70,65,65,45,ノーマル,-
207,グライガー,65,75,105,35,65,85,じめん,ひこう
208,ハガネール,75,85,200,55,65,30,はがね,じめん
209,ブルー,60,80,50,40,40,30,ノーマル,-
210,グランブル,90,120,75,60,60,45,ノーマル,-
211,ハリーセン,65,95,75,55,55,85,みず,どく
212,ハッサム,70,130,100,55,80,65,むし,はがね
213,ツボツボ,20,10,230,10,230,5,むし,いわ
214,ヘラクロス,80,125,75,40,95,85,むし,かくとう
215,ニューラ,55,95,55,35,75,115,あく,こおり
216,ヒメグマ,60,80,50,50,50,40,ノーマル,-
217,リングマ,90,130,75,75,75,55,ノーマル,-
218,マグマッグ,40,40,40,70,40,20,ほのお,-
219,マグカルゴ,50,50,120,80,80,30,ほのお,いわ
220,ウリムー,50,50,40,30,30,50,こおり,じめん
221,イノムー,100,100,80,60,60,50,こおり,じめん
222,サニーゴ,55,55,85,65,85,35,みず,いわ
223,テッポウオ,35,65,35,65,35,65,みず,-
224,オクタン,75,105,75,105,75,45,みず,-
225,デリバード,45,55,45,65,45,75,こおり,ひこう
226,マンタイン,65,40,70,80,140,70,みず,ひこう
227,エアームド,65,80,140,40,70,70,はがね,ひこう
228,デルビル,45,60,30,80,50,65,あく,ほのお
229,ヘルガー,75,90,50,110,80,95,あく,ほのお
230,キングドラ,75,95,95,95,95,85,みず,ドラゴン
231,ゴマゾウ,90,60,60,40,40,40,じめん,-
232,ドンファン,90,120,120,60,60,50,じめん,-
233,ポリゴン２,85,80,90,105,95,60,ノーマル,-
234,オドシシ,73,95,62,85,65,85,ノーマル,-
235,ドーブル,55,20,35,20,45,75,ノーマル,-
236,バルキー,35,35,35,35,35,35,かくとう,-
237,カポエラー,50,95,95,35,110,70,かくとう,-
238,ムチュール,45,30,15,85,65,65,こおり,エスパー
239,エレキッド,45,63,37,65,55,95,でんき,-
240,ブビィ,45,75,37,70,55,83,ほのお,-
241,ミルタンク,95,80,105,40,70,100,ノーマル,-
242,ハピナス,255,10,10,75,135,55,ノーマル,-
243,ライコウ,90,85,75,115,100,115,でんき,-
244,エンテイ,115,115,85,90,75,100,ほのお,-
245,スイクン,100,75,115,90,115,85,みず,-
246,ヨーギラス,50,64,50,45,50,41,いわ,じめん
247,サナギラス,70,84,70,65,70,51,いわ,じめん
248,バンギラス,100,134,110,95,100,61,いわ,あく
249,ルギア,106,90,130,90,154,110,エスパー,ひこう
250,ホウオウ,106,130,90,110,154,90,ほのお,ひこう
251,セレビィ,100,100,100,100,100,100,エスパー,くさ
252,キモリ,40,45,35,65,55,70,くさ,-
253,ジュプトル,50,65,45,85,65,95,くさ,-
254,ジュカイン,70,85,65,105,85,120,くさ,-
255,アチャモ,45,60,40,70,50,45,ほのお,-
256,ワカシャモ,60,85,60,85,60,55,ほのお,かくとう
257,バシャーモ,80,120,70,110,70,80,ほのお,かくとう
258,ミズゴロウ,50,70,50,50,50,40,みず,-
259,ヌマクロー,70,85,70,60,70,50,みず,じめん
260,ラグラージ,100,110,90,85,90,60,みず,じめん
261,ポチエナ,35,55,35,30,30,35,あく,-
262,グラエナ,70,90,70,60,60,70,あく,-
263,ジグザグマ,38,30,41,30,41,60,ノーマル,-
264,マッスグマ,78,70,61,50,61,100,ノーマル,-
265,ケムッソ,45,45,35,20,30,20,むし,-
266,カラサリス,50,35,55,25,25,15,むし,-
267,アゲハント,60,70,50,90,50,65,むし,ひこう
268,マユルド,50,35,55,25,25,15,むし,-
269,ドクケイル,60,50,70,50,90,65,むし,どく
270,ハスボー,40,30,30,40,50,30,みず,くさ
271,ハスブレロ,60,50,50,60,70,50,みず,くさ
272,ルンパッパ,80,70,70,90,100,70,みず,くさ
273,タネボー,40,40,50,30,30,30,くさ,-
274,コノハナ,70,70,40,60,40,60,くさ,あく
275,ダーテング,90,100,60,90,60,80,くさ,あく
276,スバメ,40,55,30,30,30,85,ノーマル,ひこう
277,オオスバメ,60,85,60,50,50,125,ノーマル,ひこう
278,キャモメ,40,30,30,55,30,85,みず,ひこう
279,ペリッパー,60,50,100,85,70,65,みず,ひこう
280,ラルトス,28,25,25,45,35,40,エスパー,-
281,キルリア,38,35,35,65,55,50,エスパー,-
282,サーナイト,68,65,65,125,115,80,エスパー,-
283,アメタマ,40,30,32,50,52,65,むし,みず
284,アメモース,70,60,62,80,82,60,むし,ひこう
285,キノココ,60,40,60,40,60,35,くさ,-
286,キノガッサ,60,130,80,60,60,70,くさ,かくとう
287,ナマケロ,60,60,60,35,35,30,ノーマル,-
288,ヤルキモノ,80,80,80,55,55,90,ノーマル,-
289,ケッキング,150,160,100,95,65,100,ノーマル,-
290,ツチニン,31,45,90,30,30,40,むし,じめん
291,テッカニン,61,90,45,50,50,160,むし,ひこう
292,ヌケニン,1,90,45,30,30,40,むし,ゴースト
293,ゴニョニョ,64,51,23,51,23,28,ノーマル,-
294,ドゴーム,84,71,43,71,43,48,ノーマル,-
295,バクオング,104,91,63,91,63,68,ノーマル,-
296,マクノシタ,72,60,30,20,30,25,かくとう,-
297,ハリテヤマ,144,120,60,40,60,50,かくとう,-
298,ルリリ,50,20,40,20,40,20,ノーマル,-
299,ノズパス,30,45,135,45,90,30,いわ,-
300,エネコ,50,45,45,35,35,50,ノーマル,-
301,エネコロロ,70,65,65,55,55,70,ノーマル,-
302,ヤミラミ,50,75,75,65,65,50,あく,ゴースト
303,クチート,50,85,85,55,55,50,はがね,-
304,ココドラ,50,70,100,40,40,30,はがね,いわ
305,コドラ,60,90,140,50,50,40,はがね,いわ
306,ボスゴドラ,70,110,180,60,60,50,はがね,いわ
307,アサナン,30,40,55,40,55,60,かくとう,エスパー
308,チャーレム,60,60,75,60,75,80,かくとう,エスパー
309,ラクライ,40,45,40,65,40,65,でんき,-
310,ライボルト,70,75,60,105,60,105,でんき,-
311,プラスル,60,50,40,85,75,95,でんき,-
312,マイナン,60,40,50,75,85,95,でんき,-
313,バルビート,65,73,55,47,75,85,むし,-
314,イルミーゼ,65,47,55,73,75,85,むし,-
315,ロゼリア,50,60,45,100,80,65,くさ,どく
316,ゴクリン,70,43,53,43,53,40,どく,-
317,マルノーム,100,73,83,73,83,55,どく,-
318,キバニア,45,90,20,65,20,65,みず,あく
319,サメハダー,70,120,40,95,40,95,みず,あく
320,ホエルコ,130,70,35,70,35,60,みず,-
321,ホエルオー,170,90,45,90,45,60,みず,-
322,ドンメル,60,60,40,65,45,35,ほのお,じめん
323,バクーダ,70,100,70,105,75,40,ほのお,じめん
324,コータス,70,85,140,85,70,20,ほのお,-
325,バネブー,60,25,35,70,80,60,エスパー,-
326,ブーピッグ,80,45,65,90,110,80,エスパー,-
327,パッチール,60,60,60,60,60,60,ノーマル,-
328,ナックラー,45,100,45,45,45,10,じめん,-
329,ビブラーバ,50,70,50,50,50,70,じめん,ドラゴン
330,フライゴン,80,100,80,80,80,100,じめん,ドラゴン
331,サボネア,50,85,40,85,40,35,くさ,-
332,ノクタス,70,115,60,115,60,55,くさ,あく
333,チルット,45,40,60,40,75,50,ノーマル,ひこう
334,チルタリス,75,70,90,70,105,80,ドラゴン,ひこう
335,ザングース,73,115,60,60,60,90,ノーマル,-
336,ハブネーク,73,100,60,100,60,65,どく,-
337,ルナトーン,70,55,65,95,85,70,いわ,エスパー
338,ソルロック,70,95,85,55,65,70,いわ,エスパー
339,ドジョッチ,50,48,43,46,41,60,みず,じめん
340,ナマズン,110,78,73,76,71,60,みず,じめん
341,ヘイガニ,43,80,65,50,35,35,みず,-
342,シザリガー,63,120,85,90,55,55,みず,あく
343,ヤジロン,40,40,55,40,70,55,じめん,エスパー
344,ネンドール,60,70,105,70,120,75,じめん,エスパー
345,リリーラ,66,41,77,61,87,23,いわ,くさ
346,ユレイドル,86,81,97,81,107,43,いわ,くさ
347,アノプス,45,95,50,40,50,75,いわ,むし
348,アーマルド,75,125,100,70,80,45,いわ,むし
349,ヒンバス,20,15,20,10,55,80,みず,-
350,ミロカロス,95,60,79,100,125,81,みず,-
351,ポワルン,70,70,70,70,70,70,ノーマル,-
352,カクレオン,60,90,70,60,120,40,ノーマル,-
353,カゲボウズ,44,75,35,63,33,45,ゴースト,-
354,ジュペッタ,64,115,65,83,63,65,ゴースト,-
355,ヨマワル,20,40,90,30,90,25,ゴースト,-
356,サマヨール,40,70,130,60,130,25,ゴースト,-
357,トロピウス,99,68,83,72,87,51,くさ,ひこう
358,チリーン,65,50,70,95,80,65,エスパー,-
359,アブソル,65,130,60,75,60,75,あく,-
360,ソーナノ,95,23,48,23,48,23,エスパー,-
361,ユキワラシ,50,50,50,50,50,50,こおり,-
362,オニゴーリ,80,80,80,80,80,80,こおり,-
363,タマザラシ,70,40,50,55,50,25,こおり,みず
364,トドグラー,90,60,70,75,70,45,こおり,みず
365,トドゼルガ,110,80,90,95,90,65,こおり,みず
366,パールル,35,64,85,74,55,32,みず,-
367,ハンテール,55,104,105,94,75,52,みず,-
368,サクラビス,55,84,105,114,75,52,みず,-
369,ジーランス,100,90,130,45,65,55,みず,いわ
370,ラブカス,43,30,55,40,65,97,みず,-
371,タツベイ,45,75,60,40,30,50,ドラゴン,-
372,コモルー,65,95,100,60,50,50,ドラゴン,-
373,ボーマンダ,95,135,80,110,80,100,ドラゴン,ひこう
374,ダンバル,40,55,80,35,60,30,はがね,エスパー
375,メタング,60,75,100,55,80,50,はがね,エスパー
376,メタグロス,80,135,130,95,90,70,はがね,エスパー
377,レジロック,80,100,200,50,100,50,いわ,-
378,レジアイス,80,50,100,100,200,50,こおり,-
379,レジスチル,80,75,150,75,150,50,はがね,-
380,ラティアス,80,80,90,110,130,110,ドラゴン,エスパー
381,ラティオス,80,90,80,130,110,110,ドラゴン,エスパー
382,カイオーガ,100,100,90,150,140,90,みず,-
383,グラードン,100,150,140,100,90,90,じめん,-
384,レックウザ,105,150,90,150,90,95,ドラゴン,ひこう
385,ジラーチ,100,100,100,100,100,100,はがね,エスパー
386,デオキシス（ノーマル）,50,150,50,150,50,150,エスパー,-
386,デオキシス（アタック）,50,180,20,180,20,150,エスパー,-
386,デオキシス（ディフェンス）,50,70,160,70,160,90,エスパー,-
386,デオキシス（スピード）,50,95,90,95,90,180,エスパー,-
387,ナエトル,55,68,64,45,55,31,くさ,-
388,ハヤシガメ,75,89,85,55,65,36,くさ,-
389,ドダイトス,95,109,105,75,85,56,くさ,じめん
390,ヒコザル,44,58,44,58,44,61,ほのお,-
391,モウカザル,64,78,52,78,52,81,ほのお,かくとう
392,ゴウカザル,76,104,71,104,71,108,ほのお,かくとう
393,ポッチャマ,53,51,53,61,56,40,みず,-
394,ポッタイシ,64,66,68,81,76,50,みず,-
395,エンペルト,84,86,88,111,101,60,みず,はがね
396,ムックル,40,55,30,30,30,60,ノーマル,ひこう
397,ムクバード,55,75,50,40,40,80,ノーマル,ひこう
398,ムクホーク,85,120,70,50,50,100,ノーマル,ひこう
399,ビッパ,59,45,40,35,40,31,ノーマル,-
400,ビーダル,79,85,60,55,60,71,ノーマル,みず
401,コロボーシ,37,25,41,25,41,25,むし,-
402,コロトック,77,85,51,55,51,65,むし,-
403,コリンク,45,65,34,40,34,45,でんき,-
404,ルクシオ,60,85,49,60,49,60,でんき,-
405,レントラー,80,120,79,95,79,70,でんき,-
406,スボミー,40,30,35,50,70,55,くさ,どく
407,ロズレイド,60,70,55,125,105,90,くさ,どく
408,ズガイドス,67,125,40,30,30,58,いわ,-
409,ラムパルド,97,165,60,65,50,58,いわ,-
410,タテトプス,30,42,118,42,88,30,いわ,はがね
411,トリデプス,60,52,168,47,138,30,いわ,はがね
412,ミノムッチ,40,29,45,29,45,36,むし,-
413,ミノマダム（くさ）,60,59,85,79,105,36,むし,くさ
413,ミノマダム（すな）,60,79,105,59,85,36,むし,じめん
413,ミノマダム（ゴミ）,60,69,95,69,95,36,むし,はがね
414,ガーメイル,70,94,50,94,50,66,むし,ひこう
415,ミツハニー,30,30,42,30,42,70,むし,ひこう
416,ビークイン,70,80,102,80,102,40,むし,ひこう
417,パチリス,60,45,70,45,90,95,でんき,-
418,ブイゼル,55,65,35,60,30,85,みず,-
419,フローゼル,85,105,55,85,50,115,みず,-
420,チェリンボ,45,35,45,62,53,35,くさ,-
421,チェリム,70,60,70,87,78,85,くさ,-
422,カラナクシ,76,48,48,57,62,34,みず,-
423,トリトドン,111,83,68,92,82,39,みず,じめん
424,エテボース,75,100,66,60,66,115,ノーマル,-
425,フワンテ,90,50,34,60,44,70,ゴースト,ひこう
426,フワライド,150,80,44,90,54,80,ゴースト,ひこう
427,ミミロル,55,66,44,44,56,85,ノーマル,-
428,ミミロップ,65,76,84,54,96,105,ノーマル,-
429,ムウマージ,60,60,60,105,105,105,ゴースト,-
430,ドンカラス,100,125,52,105,52,71,あく,ひこう
431,ニャルマー,49,55,42,42,37,85,ノーマル,-
432,ブニャット,71,82,64,64,59,112,ノーマル,-
433,リーシャン,45,30,50,65,50,45,エスパー,-
434,スカンプー,63,63,47,41,41,74,どく,あく
435,スカタンク,103,93,67,71,61,84,どく,あく
436,ドーミラー,57,24,86,24,86,23,はがね,エスパー
437,ドータクン,67,89,116,79,116,33,はがね,エスパー
438,ウソハチ,50,80,95,10,45,10,いわ,-
439,マネネ,20,25,45,70,90,60,エスパー,-
440,ピンプク,100,5,5,15,65,30,ノーマル,-
441,ペラップ,76,65,45,92,42,91,ノーマル,ひこう
442,ミカルゲ,50,92,108,92,108,35,ゴースト,あく
443,フカマル,58,70,45,40,45,42,ドラゴン,じめん
444,ガバイト,68,90,65,50,55,82,ドラゴン,じめん
445,ガブリアス,108,130,95,80,85,102,ドラゴン,じめん
446,ゴンベ,135,85,40,40,85,5,ノーマル,-
447,リオル,40,70,40,35,40,60,かくとう,-
448,ルカリオ,70,110,70,115,70,90,かくとう,はがね
449,ヒポポタス,68,72,78,38,42,32,じめん,-
450,カバルドン,108,112,118,68,72,47,じめん,-
451,スコルピ,40,50,90,30,55,65,どく,むし
452,ドラピオン,70,90,110,60,75,95,どく,あく
453,グレッグル,48,61,40,61,40,50,どく,かくとう
454,ドクロッグ,83,106,65,86,65,85,どく,かくとう
455,マスキッパ,74,100,72,90,72,46,くさ,-
456,ケイコウオ,49,49,56,49,61,66,みず,-
457,ネオラント,69,69,76,69,86,91,みず,-
458,タマンタ,45,20,50,60,120,50,みず,ひこう
459,ユキカブリ,60,62,50,62,60,40,くさ,こおり
460,ユキノオー,90,92,75,92,85,60,くさ,こおり
461,マニューラ,70,120,65,45,85,125,あく,こおり
462,ジバコイル,70,70,115,130,90,60,でんき,はがね
463,ベロベルト,110,85,95,80,95,50,ノーマル,-
464,ドサイドン,115,140,130,55,55,40,じめん,いわ
465,モジャンボ,100,100,125,110,50,50,くさ,-
466,エレキブル,75,123,67,95,85,95,でんき,-
467,ブーバーン,75,95,67,125,95,83,ほのお,-
468,トゲキッス,85,50,95,120,115,80,ノーマル,ひこう
469,メガヤンマ,86,76,86,116,56,95,むし,ひこう
470,リーフィア,65,110,130,60,65,95,くさ,-
471,グレイシア,65,60,110,130,95,65,こおり,-
472,グライオン,75,95,125,45,75,95,じめん,ひこう
473,マンムー,110,130,80,70,60,80,こおり,じめん
474,ポリゴンＺ,85,80,70,135,75,90,ノーマル,-
475,エルレイド,68,125,65,65,115,80,エスパー,かくとう
476,ダイノーズ,60,55,145,75,150,40,いわ,はがね
477,ヨノワール,45,100,135,65,135,45,ゴースト,-
478,ユキメノコ,70,80,70,80,70,110,こおり,ゴースト
479,ロトム,50,50,77,95,77,91,でんき,ゴースト
479,ヒートロトム,50,65,107,105,107,86,でんき,ほのお
479,ウォッシュロトム,50,65,107,105,107,86,でんき,みず
479,フロストロトム,50,65,107,105,107,86,でんき,こおり
479,スピンロトム,50,65,107,105,107,86,でんき,ひこう
479,カットロトム,50,65,107,105,107,86,でんき,くさ
480,ユクシー,75,75,130,75,130,95,エスパー,-
481,エムリット,80,105,105,105,105,80,エスパー,-
482,アグノム,75,125,70,125,70,115,エスパー,-
483,ディアルガ,100,120,120,150,100,90,はがね,ドラゴン
484,パルキア,90,120,100,150,120,100,みず,ドラゴン
485,ヒードラン,91,90,106,130,106,77,ほのお,はがね
486,レジギガス,110,160,110,80,110,100,ノーマル,-
487,ギラティナ（アナザー）,150,100,120,100,120,90,ゴースト,ドラゴン
487,ギラティナ（オリジン）,150,120,100,120,100,90,ゴースト,ドラゴン
488,クレセリア,120,70,120,75,130,85,エスパー,-
489,フィオネ,80,80,80,80,80,80,みず,-
490,マナフィ,100,100,100,100,100,100,みず,-
491,ダークライ,70,90,90,135,90,125,あく,-
492,シェイミ（ランド）,100,100,100,100,100,100,くさ,-
492,シェイミ（スカイ）,100,103,75,120,75,127,くさ,ひこう
